data,intent
good night how are you,greet
hey greetings,greet
hey good afternoon how are you doing,greet
hi good morning how are you,greet
greetings,greet
hello good day are you there,greet
hey good morning how are you doing,greet
hey good night how are you,greet
hello greetings how are you,greet
hey morning how is it going,greet
hello greetings are you around,greet
hi good morning how are things going,greet
hello how is it going,greet
hey greetings whats up,greet
good night are you around,greet
good night,greet
hello good night are you around?,greet
hi greetings how are you doing,greet
hi greetings,greet
hey good morning how is it going,greet
hey whats up,greet
morning how are you doing,greet
greetings how are you,greet
hi morning whats up,greet
hello morning are you around?,greet
greetings are you around?,greet
hi good afternoon how are you doing,greet
hey good afternoon sup,greet
hi how are things going,greet
hello good afternoon are you around,greet
hey good day are you around,greet
hello morning sup,greet
hi greetings how are things going,greet
hey morning whatsup,greet
hi how are you,greet
hi are you around,greet
hello good night whats up,greet
hi good day whats up,greet
hey good night whats up,greet
hey good morning how are you,greet
hello good morning whatsup,greet
hey good morning how are things going,greet
greetings how are you doing,greet
hello are you there,greet
hey good day how is it going,greet
good day,greet
good night how are you doing,greet
hi good afternoon how are things going,greet
hey greetings how are things going,greet
good afternoon sup,greet
hi are you there,greet
hello good afternoon are you around?,greet
hello morning whats up,greet
hello good afternoon how are you,greet
hello good morning how are you doing,greet
hi morning whatsup,greet
hi good day how are things going,greet
good morning how are you,greet
hi morning how are you doing,greet
hi greetings are you around,greet
good day are you around?,greet
good night sup,greet
hi good day whatsup,greet
hello good morning are you around,greet
hey good morning whats up,greet
good day are you there,greet
good day how are things going,greet
hello greetings,greet
hi good night how is it going,greet
hi greetings are you around?,greet
hi morning,greet
pls incorrect it's not good,negative
incorrect,negative
please incorrect its not ok,negative
i don't want that,negative
don't do that its not correct,negative
don't do that,negative
nope that's not what i want,negative
plz no i don't want that,negative
please nope its not correct,negative
incorrect please that's not what i want,negative
nope please that's wrong,negative
that's not what i want,negative
no,negative
please don't do that its not correct,negative
pls nope its not correct,negative
its not correct,negative
not really that's wrong,negative
not really,negative
please no didnt meant that,negative
that's not right plz dont mean that,negative
that's not correct,negative
nope pls that is wrong,negative
nope that's not correct,negative
it's not good,negative
its not ok,negative
pls no that's not what i want,negative
please incorrect,negative
plz nope,negative
that is wrong,negative
that's not right pls,negative
no please i don't want that,negative
that's not right,negative
plz not really didnt meant that,negative
plz no that is wrong,negative
pls that's not right it's not good,negative
that's not right that's wrong,negative
pls that's not right that's not correct,negative
that's not right plz didnt meant that,negative
plz no it's not good,negative
that's wrong,negative
not really pls that's not what i want,negative
please don't do that didnt meant that,negative
nope it's not good,negative
pls incorrect dont mean that,negative
plz that's not right its not ok,negative
nope please its not correct,negative
incorrect please its not ok,negative
plz that's not right that is wrong,negative
that's not right please that's not correct,negative
pls don't do that dont mean that,negative
not really pls its not correct,negative
dont mean that,negative
don't do that its not ok,negative
pls nope i don't want that,negative
nope,negative
please don't do that it's not good,negative
incorrect please its not correct,negative
nope plz it's not good,negative
plz incorrect that's wrong,negative
nope please i don't want that,negative
plz no that's not what i want,negative
pls no it's not good,negative
plz don't do that dont mean that,negative
incorrect that's not what i want,negative
nope pls i don't want that,negative
that's not right pls that's not what i want,negative
don't do that please i don't want that,negative
please no that's not correct,negative
that's not right that is wrong,negative
that's not right please that's wrong,negative
no pls didnt meant that,negative
pls incorrect i don't want that,negative
nope plz i don't want that,negative
please incorrect it's not good,negative
please that's not right that is wrong,negative
please that's not right didnt meant that,negative
incorrect please dont mean that,negative
please that's not right,negative
nope dont mean that,negative
please don't do that that's not what i want,negative
incorrect please that is wrong,negative
not really pls it's not good,negative
no that's not what i want,negative
plz not really that's not correct,negative
no pls that's wrong,negative
incorrect pls that's not what i want,negative
plz nope dont mean that,negative
not really pls that is wrong,negative
incorrect please didnt meant that,negative
plz no didnt meant that,negative
not really its not correct,negative
no plz it's not good,negative
no it's not good,negative
no plz i don't want that,negative
nope pls didnt meant that,negative
don't do that plz it's not good,negative
plz incorrect that is wrong,negative
that's not right that's not correct,negative
pls that's not right that's wrong,negative
nope plz dont mean that,negative
